職稱,職務型態,表訂 / 實際工時,一週總工時,加班頻率,業界工作經歷,薪資,時薪,參考時間
軟體工程師 桃園,全職,8 / 10,40,偶爾,-,"750,000 / 年",397 元,2019.05
軟韌體測試工程師 ,全職,8 / 10,40,偶爾,-,"500,000 / 年",265 元,2017.02
物控專員 桃園大溪廠,全職,8 / 9,46,偶爾,2 年,"500,000 / 年",225 元,2018.06
軟體設計工程師 龜山,全職,8 / 9,45,經常,8 年,"52,700 / 月",292 元,2017.04
硬體工程師 ,全職,8 / 10,50,偶爾,2 年,"44,000 / 月",219 元,2019.02
硬體工程師 龜山,全職,8 / 8,40,偶爾,6 年,"1,000,000 / 年",519 元,2018.07
硬體研發工程師 桃園,全職,8 / 8.5,43,偶爾,-,"38,500 / 月",223 元,2019.02
工程師 ,全職,8 / 9,45,偶爾,1 年,"500,000 / 年",231 元,2018.07
客戶品質工程師 台北,全職,8 / 9,45,偶爾,11 年,"1,200,000 / 年",553 元,2018.07
包裝設計師 士林廠區,全職,8 / 9,45,偶爾,3 年,"38,000 / 月",210 元,2018.06
硬體工程師 士林,全職,8 / 9,45,偶爾,-,"38,000 / 月",210 元,2018.06
BIOS軟體工程師 桃園廠,全職,8 / 9.5,47,幾乎每天,3 年,"780,000 / 年",345 元,2018.06
BIOS工程師 士林,全職,8 / 9,45,偶爾,1 年,"43,000 / 月",238 元,2018.06
軟體工程師 士林廠,全職,8 / 9,45,幾乎每天,15 年,"1,030,000 / 年",475 元,2018.05
BIOS工程師 士林,全職,8 / 9.5,44,偶爾,10 年,"1,500,000 / 年",712 元,2018.05
韌體工程師 桃科廠,全職,8 / 10,45,經常,3 年,"46,000 / 月",257 元,2016.09
工程師 新北市,全職,8 / 8,40,幾乎不,5 年,"62,000 / 月",386 元,2017.04
機構工程師 ,全職,8 / 14,60,幾乎每天,5 年,"40,000 / 月",168 元,2017.03
軟體設計工程師 桃園,全職,9 / 9,40,幾乎不,-,"39,500 / 月",248 元,2017.03
韌體設計工程師 ,全職,8 / 8.5,40,偶爾,-,"43,000 / 月",269 元,2017.03
機構工程師 士林區,全職,8 / 12,60,幾乎每天,5 年,"50,000 / 月",207 元,2017.03
軟體工程師 新桃科廠,全職,10 / 10.5,50,經常,-,"40,000 / 月",200 元,2017.03
